"id","name","value"
TCP1070,"SindiTelebrasil",1
TCP1077,"Edward Ramos",1
TCP1098,"miguel ads",1
TCP1104,"Nathália Marques",1
TCP1129,"Priscila M.",1
TCP1167,"Emerson Wendt",1
TCP1177,"fernandacgv130287",1
TCP1181,"Leonardo Pessanha",1
TCP1188,"Marcone",1
TCP1223,"Marco Antonio Konopacki",1
TCP1224,"Alexandre",1
TCP1240,"Larissa Pereira Oliveira",1
TCP1246,"Renata Oliveira",1
TCP1304,"amanda pimenta",1
TCP133,"pessel",1
TCP1364,"Rachel Burgos",1
TCP1366,"Isabella Carolina de Faria Alves",1
TCP1371,"wagner silveira",1
TCP1378,"Diogo Neves Pinto",1
TCP1394,"henrique1993",1
TCP1402,"romulo sousa",1
TCP1548,"Dino Schwingel",1
TCP1621,"Conceição",1
TCP1624,"Cinthya Brito",1
TCP1639,"Ana Breitinger",1
TCP164,"paulo c a",1
TCP1648,"SamandaBorges",1
TCP1846,"Vanessa",1
TCP1847,"Lucas Maccari",1
TCP1850,"Kédiman",1
TCP1868,"poluty",1
TCP1874,"maiara da rosa de freitas",1
TCP1876,"Israel Rocha",1
TCP1878,"brunagf",1
TCP188,"kaori",1
TCP1881,"CASSIA",1
TCP1883,"Tamara Goulart",1
TCP1889,"Talise Novack",1
TCP1898,"Vanessa M. De Bom",1
TCP1921,"lucasnascimento",1
TCP1930,"Bruna Pereira",1
TCP1933,"aparecidacristina",1
TCP204,"MM",1
TCP216,"VILSON",1
TCP217,"pedro",1
TCP2180,"Tiago Augusto de Sousa",1
TCP2235,"Tiago Henrique França Baroni",1
TCP2272,"Stefan",1
TCP2314,"Mariana Cunha e Melo",1
TCP232,"Edvaldo Freitas",1
TCP262,"Calebe",1
TCP34,"jeoman",1
TCP342,"Lucas Lopes",1
TCP352,"elis",1
TCP372,"ap",1
TCP38,"Pedro Mizukami",1
TCP40,"AME",1
TCP461,"Guilherme Oliveira Moraes",1
TCP61,"MG",1
TCP689,"Bruno R. Bioni (Mestrando em Direito na USP e Pesquisador Visitante no Centro de Tecnologia, Sociedade e Direito da Universidade de Ottawa)",1
TCP755,"ELOMIR",1
TCP76,"mari",1
TCP760,"Gilmar",1
TCP770,"Daniel Serodio",1
TCP789,"Ramon Elias de Freitas Pereira",1
TCP835,"samadeu",1
TCP89,"christian alexandre",1
TCP891,"vanessa Santana",1
TCP894,"Priscila Peixoto",1
TCP905,"Adriano",1
TCP95,"jlcosta81",1
TCP96,"arns",1
TCP968,"Leonardo",1
TCP978,"Lucas Silva Carrijo",1
TCP985,"Gabriela Assreuy",1
