colors,hcrow,hccol,rowLabel,colLabel
,136,136,"Art. 28, § 1º, IV",Rubemrj
,137,137,Art. 29,Intervozes
,138,138,Art. 30,Gabriellebolina
,139,139,"Art. 30, § 1º",Nicole Oliveira
,140,140,"Art. 30, § 2º",Elizane Gomes
,141,141,"Art. 30, § 3º",Bruna Fernandes
,142,142,Art. 31,Marina
,143,143,Art. 32,Rodrigo
,144,144,Art. 33,Rodrigo Serra Negra
,145,145,Art. 34,Tatiane Ferreira
,146,146,Art. 35,Stefania Petraglia
,147,147,"Art. 35, § 1º",Rachel Burgos
,148,148,"Art. 35, § 2º",Isabella Alves
,149,149,Art. 37,Estevao Machado
,150,150,Art. 38,Fbraga
,151,151,Art. 39,Náthaly Morgani
,152,152,"Art. 39, § 1º",Wagner Silveira
,153,153,"Art. 39, § 2º",Kilcy Bispo
,154,154,Art. 40,Clara Campos
,155,155,"Art. 40, § 1º",Diogo Neves Pinto
,156,156,Art. 41,Rudá Lemos
,157,157,"Art. 41, § 1º",Skybrasil
,158,158,"Art. 41, § 2º, IV",Gabriela Oliveira
,159,159,"Art. 41, § 3º",ABRANET
,160,160,Art. 42,Claro S/A
,161,161,"Art. 42, § 1º",Gabriel Carvalho
,162,162,Art. 43,Henrique1993
,163,163,Art. 44,FEBRABAN
,164,164,"Art. 44, § 1º, III",Tatiane Souza
,165,165,Art. 45,Romulo Sousa
,166,166,"Art. 45, I",Raissa Guimaraes
,167,167,"Art. 45, § 1º",Flávia Mendes
,168,168,"Art. 45, § 2º",Bruno Diego
,169,169,Art. 46,Adamir
,170,170,Art. 47,Leandro Bussolotto
,171,171,Art. 48,Thiago
,172,172,"Art. 48, § 1º",Dino Schwingel
,173,173,Art. 49,Aldênio R.
,174,174,Art. 50,Conceição
,175,175,"Art. 50, I",Cinthya Brito
,176,176,"Art. 50, II",Ana Breitinger
,177,177,"Art. 50, III",Samandaborges
,178,178,"Art. 50, IV",Helloá Rodrigues
,179,179,"Art. 50, V",Cristhian Augusto
,180,180,"Art. 50, VI",Tibério Sampaio
,181,181,"Art. 50, VII",Marlon
,182,182,"Art. 50, § 1º",Jessica Brasil
,183,183,"Art. 50, § 2º",Kaliny Aglay
,184,184,"Art. 50, § 3º",Gleison Melo
,185,185,"Art. 50, § 4º",CIPL
,186,186,"Art. 50, § 5º",Vanessa
,187,187,Art. 51,Lucas Maccari
,188,188,Art. 52,Kédiman
,,189,,Poluty
,,190,,Maiara de Freitas
,,191,,Israel Rocha
,,192,,Brunagf
,,193,,Cassia
,,194,,Tamara Goulart
,,195,,Grimaneza
,,196,,Talise Novack
,,197,,Luciane Goulart
,,198,,Sandra
,,199,,Bruna Nazario
,,200,,Vanessa M. De Bom
,,201,,Larissa Denski Nola
,,202,,Bruna Da Rosa
,,203,,Andremenegazzo
,,204,,Lucasnascimento
,,205,,Jhonata Serafim
,,206,,Luiz Fernando Borges
,,207,,Tamiresanselmo1
,,208,,Bruna Pereira
,,209,,Silvana
,,210,,Aparecidacristina
,,211,,Claudiana
,,212,,Adelino dos Santos
,,213,,Gpopai/USP
,,214,,Rafaelc
,,215,,Natasha Af
,,216,,Tiago de Sousa
,,217,,Gsao
,,218,,Alan
,,219,,Tiago Baroni
,,220,,Stefan
,,221,,Ricardo Leite
,,222,,Wellington Cremasco
,,223,,ABDTIC
,,224,,ABINEE
,,225,,BSA
,,226,,ALRN
,,227,,Mariana Melo
